MW,,dlogMW
453723,5.656790795,0.737974
467531,5.669810412,0.734029
481759,5.682829837,0.728757
496420,5.69584927,0.723251
511528,5.708869411,0.71805
527095,5.721888897,0.711955
543136,5.73490859,0.706399
559665,5.747928148,0.700489
576696,5.760946939,0.693968
594247,5.773966998,0.687788
612331,5.786986247,0.680885
630966,5.800005958,0.673463
650168,5.813025591,0.66602
669954,5.826044984,0.658265
690342,5.839064296,0.650241
711351,5.852083946,0.640989
732999,5.865103382,0.631603
755306,5.878122935,0.622053
778292,5.891142566,0.612581
801977,5.904161913,0.601449
826383,5.917181374,0.590332
851532,5.930200973,0.577654
877447,5.943220893,0.565983
904149,5.956240006,0.55383
931665,5.969259781,0.540733
960018,5.982279376,0.527104
989233,5.995298596,0.513199
1.02E+06,6.008600172,0.498428
1.05E+06,6.021189299,0.484026
1.08E+06,6.033423755,0.469248
1.12E+06,6.049218023,0.45447
1.15E+06,6.06069784,0.439358
1.18E+06,6.071882007,0.42458
1.22E+06,6.086359831,0.409136
1.26E+06,6.100370545,0.394045
1.30E+06,6.113943352,0.378317
1.34E+06,6.127104798,0.363468
1.38E+06,6.139879086,0.34803
1.42E+06,6.152288344,0.3336
1.46E+06,6.164352856,0.318779
1.51E+06,6.178976947,0.304647
1.55E+06,6.190331698,0.290387
1.60E+06,6.204119983,0.276183
1.65E+06,6.217483944,0.261774
1.70E+06,6.230448921,0.247805
1.75E+06,6.243038049,0.234353
1.80E+06,6.255272505,0.221845
1.86E+06,6.269512944,0.209735
1.91E+06,6.281033367,0.197688
1.97E+06,6.294466226,0.186223
2.03E+06,6.307496038,0.175169
2.09E+06,6.320146286,0.164782
2.16E+06,6.334453751,0.154864
2.22E+06,6.346352974,0.145633
2.29E+06,6.359835482,0.135871
2.36E+06,6.372912003,0.126747
2.43E+06,6.385606274,0.118155
2.51E+06,6.399673721,0.110166
2.58E+06,6.411619706,0.102006
2.66E+06,6.424881637,0.0940033
2.74E+06,6.437750563,0.0874969
2.82E+06,6.450249108,0.0807281
2.91E+06,6.463892989,0.0744345
3.00E+06,6.477121255,0.0682403
3.09E+06,6.489958479,0.062571
3.18E+06,6.50242712,0.0575828
3.28E+06,6.515873844,0.0532259
3.38E+06,6.5289167,0.048564
3.48E+06,6.541579244,0.0442568
3.59E+06,6.555094449,0.0399141
3.70E+06,6.568201724,0.0365149
3.81E+06,6.580924976,0.0330164
3.93E+06,6.59439255,0.0298159
4.05E+06,6.607455023,0.0276156
4.17E+06,6.620136055,0.0250677
4.30E+06,6.633468456,0.0222006
4.43E+06,6.646403726,0.020206
4.56E+06,6.658964843,0.0176298
4.70E+06,6.672097858,0.0154295
4.85E+06,6.685741739,0.0141089
4.99E+06,6.698100546,0.0127811
5.14E+06,6.710963119,0.0115173
5.30E+06,6.72427587,0.00979938
5.46E+06,6.737192643,0.00886892
5.63E+06,6.750508395,0.00771146
5.80E+06,6.763427994,0.00674554
5.98E+06,6.776701184,0.00538945
6.16E+06,6.789580712,0.00465053
6.35E+06,6.802773725,0.00426632
6.54E+06,6.815577748,0.00373314
6.74E+06,6.828659897,0.00301551
