,Mw,Tc,Pc,Omega
IB,56.11,417.9,40,0.19484
IP,68.12,484,38.5003,0.158323
HCL,36.461,324.65,83.1,0.131544
EADC,126.95,646.05,18.6,0.533799
HEXANE,86.175,507.6,30.25,0.301261
CH3CL,50.487,416.25,66.8,0.151
